frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
9,189.107745,126.349404,74.056301,94.511616,0.982884,1.000000
10,189.113400,126.345826,74.055462,94.511234,0.982840,1.000000
11,189.107745,126.349404,74.056301,94.511616,0.982885,1.000000
12,nan,nan,nan,nan,nan,nan
13,nan,nan,nan,nan,nan,nan
14,nan,nan,nan,nan,nan,nan
15,nan,nan,nan,nan,nan,nan
16,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan
21,nan,nan,nan,nan,nan,nan
22,nan,nan,nan,nan,nan,nan
23,nan,nan,nan,nan,nan,nan
24,nan,nan,nan,nan,nan,nan
25,nan,nan,nan,nan,nan,nan
26,nan,nan,nan,nan,nan,nan
27,nan,nan,nan,nan,nan,nan
28,188.932682,128.258296,74.872512,94.074741,0.978697,1.000000
29,188.779695,127.840075,74.891843,94.176588,0.980819,1.000000
30,188.764301,127.866968,74.898685,94.171662,0.980743,1.000000
31,188.756213,127.883521,74.898788,94.165051,0.980865,1.000000
32,188.754966,127.406734,74.877761,94.263863,0.982818,1.000000
33,188.731751,127.424383,74.883134,94.262116,0.982639,1.000000
34,188.724109,127.459682,74.888904,94.255162,0.982893,1.000000
35,188.660936,127.017798,74.871916,94.348300,0.983196,1.000000
36,188.646268,127.039069,74.876863,94.346649,0.983441,1.000000
37,188.636834,127.069881,74.880506,94.336760,0.983431,1.000000
38,188.552083,127.130135,74.898596,94.318198,0.982382,1.000000
39,188.513523,127.149277,74.903368,94.321459,0.982479,1.000000
40,188.507731,127.204326,74.907234,94.312807,0.982750,1.000000
41,188.505822,127.240687,74.911432,94.306096,0.983125,1.000000
42,188.502248,127.305678,74.911874,94.289755,0.982863,1.000000
43,188.473539,127.373978,74.921813,94.278071,0.982485,1.000000
44,188.439570,127.443173,74.927451,94.265529,0.982381,1.000000
45,188.419751,127.491032,74.929935,94.257424,0.982483,1.000000
46,188.390996,127.535707,74.934769,94.246050,0.982790,1.000000
47,188.382751,127.607678,74.937414,94.226054,0.983265,1.000000
48,188.365185,127.691365,74.945968,94.211252,0.983004,1.000000
49,188.377313,127.764769,74.944930,94.190242,0.983037,1.000000
50,188.396327,127.851435,74.942654,94.166100,0.982873,1.000000
51,188.364888,127.899088,74.949380,94.160660,0.983057,1.000000
52,188.361712,127.965037,74.952178,94.145805,0.983086,1.000000
53,188.354699,127.999820,74.957102,94.138615,0.983036,1.000000
54,188.313248,128.066388,74.964113,94.123319,0.982960,1.000000
55,188.302677,128.099283,74.968356,94.118076,0.982931,1.000000
56,188.288570,128.132556,74.973171,94.110641,0.982999,1.000000
57,188.282117,128.185862,74.979917,94.098577,0.983396,1.000000
58,188.253925,128.221701,74.984968,94.086429,0.983345,1.000000
59,188.275174,128.271074,74.981439,94.069085,0.983569,1.000000
60,188.226843,128.303577,74.988663,94.068257,0.983582,1.000000
61,188.228122,128.332328,74.988259,94.062482,0.983718,1.000000
62,188.204801,128.412421,74.996886,94.045128,0.983449,1.000000
63,188.203843,128.478622,74.999181,94.029913,0.983039,1.000000
64,188.194178,128.541651,75.002697,94.015365,0.982610,1.000000
65,188.188350,128.588037,75.002511,94.003339,0.982688,1.000000
66,188.167227,128.625888,75.009807,93.999128,0.982611,1.000000
67,188.186044,128.691296,75.009044,93.984125,0.982446,1.000000
68,188.178745,128.721481,75.011647,93.979332,0.982481,1.000000
69,188.189888,128.735755,75.008978,93.976058,0.982680,1.000000
70,188.197938,128.786984,75.007640,93.962361,0.982776,1.000000
71,188.218238,128.849466,75.005940,93.945495,0.982804,1.000000
72,188.244179,128.887987,74.993623,93.938609,0.983242,1.000000
73,188.256874,128.910443,74.989729,93.932923,0.983590,1.000000
74,188.281283,129.004974,74.985360,93.909451,0.983227,1.000000
75,188.332775,129.031558,74.969816,93.904749,0.982856,1.000000
76,188.341056,129.096505,74.975455,93.885500,0.982883,1.000000
77,188.348492,129.086669,74.976131,93.890753,0.982700,1.000000
78,188.332739,129.121877,74.978588,93.880377,0.982891,1.000000
79,188.316225,129.157972,74.982601,93.870844,0.982457,1.000000
80,188.319509,129.197300,74.984761,93.860795,0.982589,1.000000
81,188.306383,129.214577,74.984543,93.858609,0.982451,1.000000
82,188.284069,129.257871,74.986307,93.852188,0.982423,1.000000
83,188.287700,129.274894,74.985731,93.847725,0.982351,1.000000
84,188.281850,129.295778,74.990619,93.844630,0.982535,1.000000
85,188.266765,129.298173,74.992707,93.845198,0.982529,1.000000
86,188.251072,129.296080,74.993193,93.844984,0.982534,1.000000
87,188.248071,129.340923,74.996626,93.836215,0.982284,1.000000
88,188.241689,129.358107,74.997265,93.831988,0.982569,1.000000
89,188.255838,129.395530,74.994571,93.821884,0.982750,1.000000
90,188.265793,129.416625,74.993494,93.817421,0.982970,1.000000
91,188.268959,129.422508,74.993349,93.814857,0.983226,1.000000
92,188.293086,129.438736,74.986969,93.808709,0.983130,1.000000
93,188.291716,129.438021,74.983579,93.812466,0.983098,1.000000
94,188.269811,129.502805,74.987179,93.797228,0.982884,1.000000
95,188.264109,129.565146,74.984438,93.782163,0.982822,1.000000
96,188.226507,129.616408,74.996089,93.772813,0.982511,1.000000
97,188.204962,129.643818,75.000841,93.762117,0.982220,1.000000
98,188.168310,129.728874,75.009976,93.739770,0.982522,1.000000
99,188.153897,129.798935,75.007220,93.719905,0.982076,1.000000
100,188.112100,129.871288,75.018709,93.706456,0.982280,1.000000
101,188.121561,129.908257,75.018472,93.702639,0.982391,1.000000
102,188.075013,129.969520,75.027201,93.685527,0.982961,1.000000
103,187.983011,130.028914,75.044930,93.674027,0.983287,1.000000
104,187.938203,130.172731,75.052473,93.640095,0.982594,1.000000
105,187.916433,130.280023,75.061609,93.617306,0.982886,1.000000
106,187.837882,130.453173,75.085029,93.573347,0.983004,1.000000
107,187.798602,130.606430,75.102398,93.534962,0.982839,1.000000
108,187.764407,130.841760,75.110696,93.483468,0.982227,1.000000
109,187.689526,131.010981,75.119862,93.451302,0.982544,1.000000
110,187.648838,131.312479,75.130695,93.383679,0.982674,1.000000
111,187.542077,131.563352,75.160105,93.320998,0.982731,1.000000
112,187.498476,131.782560,75.170032,93.273065,0.982904,1.000000
113,187.447575,131.992013,75.188783,93.230391,0.982152,1.000000
114,187.393952,132.329844,75.208251,93.151239,0.982213,1.000000
115,187.307162,132.620168,75.213615,93.087572,0.983146,1.000000
116,187.282440,132.902665,75.231817,93.014535,0.982101,1.000000
117,187.258047,133.251260,75.249593,92.938170,0.982468,1.000000
118,187.260912,133.558151,75.238889,92.870650,0.983342,1.000000
119,187.218452,133.887670,75.268337,92.802304,0.982285,1.000000
120,187.190308,134.187384,75.278466,92.725640,0.982902,1.000000
121,187.168649,134.655109,75.278373,92.623264,0.983340,1.000000
122,187.185916,134.998558,75.287988,92.542490,0.983004,1.000000
123,187.151903,135.317773,75.289607,92.471448,0.982332,1.000000
124,187.177243,135.874727,75.287400,92.342207,0.982951,1.000000
125,187.180973,136.200148,75.287740,92.272363,0.982589,1.000000
126,187.130935,136.661224,75.312144,92.169666,0.982345,1.000000
127,187.145136,137.152287,75.309340,92.055718,0.982658,1.000000
128,187.097131,137.644658,75.328447,91.947590,0.982487,1.000000
129,187.158243,138.116619,75.310318,91.839296,0.982887,1.000000
130,187.164650,138.639248,75.328081,91.722094,0.982147,1.000000
131,187.170298,139.251859,75.326630,91.575481,0.982577,1.000000
132,187.171868,139.745208,75.334878,91.466661,0.981921,1.000000
133,187.125624,140.369434,75.346031,91.325714,0.982562,1.000000
134,187.212076,140.884458,75.330126,91.213363,0.981866,1.000000
135,187.171981,141.498384,75.340834,91.060312,0.981942,1.000000
136,187.165663,142.090162,75.355616,90.942271,0.981731,1.000000
137,187.194026,142.727454,75.340474,90.784877,0.982772,1.000000
138,187.164470,143.389021,75.360781,90.640036,0.982291,1.000000
139,187.191181,144.058811,75.362141,90.497426,0.982284,1.000000
140,187.175444,144.696219,75.364383,90.349305,0.982788,1.000000
141,187.137620,145.342799,75.382975,90.204410,0.982438,1.000000
142,187.192993,146.037740,75.375488,90.044427,0.982665,1.000000
143,187.195359,146.692082,75.379873,89.889408,0.982912,1.000000
144,187.158619,147.364544,75.389258,89.738530,0.982559,1.000000
145,187.154016,148.177723,75.394753,89.563265,0.982958,1.000000
146,187.164431,148.959902,75.389351,89.383076,0.982966,1.000000
147,187.140105,149.713605,75.396045,89.204048,0.982303,1.000000
