model,mode,threshold,frame_count,total_time,avg_time,,
eye_net,filter,1,151,158.2685708,1.04813623,,
eye_net_m,filter,1,151,140.6506086,0.931460984,,
pruned_eye_net,filter,1,151,137.3140771,0.909364749,,
eye_net,org,1,151,238.0639121,1.576582199,,
eye_net_m,org,1,151,148.3896947,0.98271321,,
pruned_eye_net,org,1,151,93.6845478,0.620427469,,
eye_net,filter,5,151,158.0718393,1.046833373,,
eye_net_m,filter,5,151,140.7882127,0.93237227,,
pruned_eye_net,filter,5,151,132.5296463,0.877679777,,
eye_net,org,5,151,248.0007175,1.642388858,,
eye_net_m,org,5,151,152.863338,1.012339987,,
pruned_eye_net,org,5,151,98.7926742,0.654256121,,
eye_net,filter,10,151,162.8410244,1.07841738,,
eye_net_m,filter,10,151,141.0066245,0.933818705,,
pruned_eye_net,filter,10,151,138.5998467,0.917879779,,
eye_net,org,10,151,249.1937285,1.650289593,,
eye_net_m,org,10,151,143.2221448,0.948491025,,
pruned_eye_net,org,10,151,103.6836468,0.686646668,,
eye_net,filter,50,151,158.5200731,1.049801809,,
eye_net_m,filter,50,151,148.0292998,0.980326489,,
pruned_eye_net,filter,50,151,130.9915904,0.867493976,,
eye_net,org,50,151,246.7219274,1.633920049,,
eye_net_m,org,50,151,144.11582,0.954409404,,
pruned_eye_net,org,50,151,99.2723763,0.657432956,,
eye_net,filter,100,151,161.8920979,1.072133099,,
eye_net_m,filter,100,151,141.2261662,0.935272624,,
pruned_eye_net,filter,100,151,142.0883494,0.940982446,,
eye_net,org,100,151,252.1258026,1.669707302,,
eye_net_m,org,100,151,144.2418174,0.955243824,,
pruned_eye_net,org,100,151,101.50758,0.672235629,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,138.8207016
