archive,image_L_0,regionmask_withskin_L_0,regionmask_withoutskin_L_0,string_eye,string_original_eye_x,string_original_eye_y,string_original_eye_z,float_blink,float_gaze_x_degree,float_gaze_y_degree,float_pupil_size,float_slippage_x,float_slippage_y,float_slippage_z,float_pupil_x,float_pupil_y,float_pupilellipse_major,float_pupilellipse_minor,float_pupilellipse_angle,float_iris_x,float_iris_y,float_irisellipse_major,float_irisellipse_minor,float_irisellipse_angle,float_eyeball_x,float_eyeball_y,float_eyeball_diameter
footage_image_data.zip,type_img_frame_0000.png,type_maskWithSkin_frame_0000.png,type_maskWithoutSkin_frame_0000.png,L,-62.55789995,121.06399536,307.75799751,0.5330079,-28.618484,-18.942156,0.12539953,-1.3322295,4.2289076,-0.842768,114.17561,143.309,22.66482,28.678421,148.39218,113.4048,143.84888,81.36954,105.785645,149.33289,17.504887,13.961729,45.544247
footage_image_data.zip,type_img_frame_0001.png,type_maskWithSkin_frame_0001.png,type_maskWithoutSkin_frame_0001.png,L,-62.55789995,121.06399536,307.75799751,0.87354374,-27.355341,-17.645052,0.07346397,-4.8259807,1.3320693,0.65557647,87.562325,127.66629,19.62055,24.592268,149.57755,86.61299,128.31143,78.2165,100.797585,152.35123,10.577734,10.963332,43.485207
footage_image_data.zip,type_img_frame_0002.png,type_maskWithSkin_frame_0002.png,type_maskWithoutSkin_frame_0002.png,L,-62.55789995,121.06399536,307.75799751,0.5184023,-29.181322,-16.034878,0.28709784,-3.2808616,3.3999953,-1.3035169,95.90688,143.25032,28.547783,36.017464,153.83917,95.242355,143.84546,79.670135,104.39421,154.38339,13.460096,14.895421,44.87221
footage_image_data.zip,type_img_frame_0003.png,type_maskWithSkin_frame_0003.png,type_maskWithoutSkin_frame_0003.png,L,-62.55789995,121.06399536,307.75799751,0.42118207,-29.729124,-19.93897,0.32189134,-1.8512932,2.3651178,0.37854853,109.67114,132.86221,29.29326,36.842438,149.65578,109.13432,133.28491,77.40001,102.21417,150.19565,16.427801,11.515209,44.031273
footage_image_data.zip,type_img_frame_0004.png,type_maskWithSkin_frame_0004.png,type_maskWithoutSkin_frame_0004.png,L,-62.55789995,121.06399536,307.75799751,0.43692613,-28.992096,-17.67042,0.21003637,0.18831433,0.55685836,-1.8244566,129.34424,148.37898,24.713173,30.347301,150.37425,128.66676,149.047,77.834,99.03423,150.26689,20.572895,15.87199,43.02129
footage_image_data.zip,type_img_frame_0005.png,type_maskWithSkin_frame_0005.png,type_maskWithoutSkin_frame_0005.png,L,-62.55789995,121.06399536,307.75799751,0.84424955,-29.564579,-18.807238,0.01365669,2.324822,4.709172,0.4194343,146.36555,131.35802,18.700125,22.841608,150.78282,145.51433,132.00858,84.5802,106.26195,149.89622,25.269112,11.254066,46.21333
footage_image_data.zip,type_img_frame_0006.png,type_maskWithSkin_frame_0006.png,type_maskWithoutSkin_frame_0006.png,L,-62.55789995,121.06399536,307.75799751,0.89009327,-29.625755,-18.730818,0.27778286,2.4694283,7.1235027,-3.768073,146.4364,172.20914,30.596518,38.00936,147.088,146.05501,172.74437,86.02534,111.615654,146.27748,25.81936,20.374315,47.888493
footage_image_data.zip,type_img_frame_0007.png,type_maskWithSkin_frame_0007.png,type_maskWithoutSkin_frame_0007.png,L,-62.55789995,121.06399536,307.75799751,0.03300962,-29.750114,-16.254765,0.32901236,1.8614753,0.515571,3.1666565,142.48146,103.8995,30.051186,36.05808,157.65646,142.04959,104.39568,80.556854,99.06041,156.58804,23.938602,5.9970474,43.299744
footage_image_data.zip,type_img_frame_0008.png,type_maskWithSkin_frame_0008.png,type_maskWithoutSkin_frame_0008.png,L,-62.55789995,121.06399536,307.75799751,0.3344777,-25.246004,-16.319235,0.00152577,-1.9623865,9.495908,-0.79187655,107.603195,142.02364,20.479136,24.883738,150.69138,106.48244,142.89925,94.74708,117.32814,150.32954,16.099867,13.742817,50.26257
footage_image_data.zip,type_img_frame_0009.png,type_maskWithSkin_frame_0009.png,type_maskWithoutSkin_frame_0009.png,L,-62.55789995,121.06399536,307.75799751,0.26469016,-24.194237,-17.672915,0.04123249,-3.9474313,2.487451,1.6588286,98.2139,119.51809,19.36971,23.611582,150.62845,96.91876,120.04108,84.14502,103.19326,149.98306,12.351079,8.813329,44.631416
footage_image_data.zip,type_img_frame_0010.png,type_maskWithSkin_frame_0010.png,type_maskWithoutSkin_frame_0010.png,L,-62.55789995,121.06399536,307.75799751,0.977553,-26.64218,-16.947302,0.36078036,-1.6659918,5.801257,-2.8927946,111.55948,161.12346,33.909386,41.54842,149.94044,111.10971,161.60503,86.104935,109.185036,148.80247,16.823645,18.323195,46.92649
footage_image_data.zip,type_img_frame_0011.png,type_maskWithSkin_frame_0011.png,type_maskWithoutSkin_frame_0011.png,L,-62.55789995,121.06399536,307.75799751,0.97618,-26.783018,-18.347183,0.2560037,-3.651115,0.9265847,2.5597296,98.92829,112.21017,26.950266,33.013824,152.46129,98.13499,112.65569,79.48949,100.18931,151.98782,13.008351,7.1856956,43.36925
footage_image_data.zip,type_img_frame_0012.png,type_maskWithSkin_frame_0012.png,type_maskWithoutSkin_frame_0012.png,L,-62.55789995,121.06399536,307.75799751,0.49586564,-26.635527,-18.615252,0.02469417,0.22051021,1.2181159,-0.78737754,132.6866,141.27281,18.237055,22.173527,146.4166,131.70438,142.036,80.99448,100.41875,147.14284,20.725784,13.806745,43.66972
footage_image_data.zip,type_img_frame_0013.png,type_maskWithSkin_frame_0013.png,type_maskWithoutSkin_frame_0013.png,L,-62.55789995,121.06399536,307.75799751,0.09185041,-26.081264,-19.340252,0.18277517,3.0039032,8.360972,4.810314,157.08968,90.67142,29.233377,33.762516,149.28595,156.38312,91.0781,97.04901,114.40561,149.9767,27.362549,1.1571457,49.643326
footage_image_data.zip,type_img_frame_0014.png,type_maskWithSkin_frame_0014.png,type_maskWithoutSkin_frame_0014.png,L,-62.55789995,121.06399536,307.75799751,0.97472477,-26.734592,-16.067226,0.34131342,1.9047933,7.70067,-1.3773313,144.4903,146.55577,35.45464,41.617107,149.89554,144.05894,147.04124,93.06979,113.10626,149.17154,24.777594,15.027861,48.825653
footage_image_data.zip,type_img_frame_0015.png,type_maskWithSkin_frame_0015.png,type_maskWithoutSkin_frame_0015.png,L,-62.55789995,121.06399536,307.75799751,0.76931083,-25.720066,-19.90286,0.46682864,4.835688,4.002202,3.0685537,174.22824,109.60548,39.60052,44.64626,144.77258,173.9422,109.797554,90.21041,105.31781,144.41364,30.546938,5.6999297,46.17239
footage_image_data.zip,type_img_frame_0016.png,type_maskWithSkin_frame_0016.png,type_maskWithoutSkin_frame_0016.png,L,-62.55789995,121.06399536,307.75799751,0.87864053,-23.986841,-19.122412,0.11778635,-1.6338563,7.355285,-1.3823591,115.24973,151.37877,24.708536,29.758299,144.17087,114.146324,151.89441,90.66623,112.64334,143.87747,16.91388,15.085016,48.36197
footage_image_data.zip,type_img_frame_0017.png,type_maskWithSkin_frame_0017.png,type_maskWithoutSkin_frame_0017.png,L,-62.55789995,121.06399536,307.75799751,0.93182826,-22.775637,-17.507605,0.14075822,-3.4439218,3.5007079,3.9437559,103.450516,98.81721,24.62304,28.78376,151.16873,102.24817,99.324844,88.350746,105.27947,151.0827,13.338986,3.9704177,45.545155
footage_image_data.zip,type_img_frame_0018.png,type_maskWithSkin_frame_0018.png,type_maskWithoutSkin_frame_0018.png,L,-62.55789995,121.06399536,307.75799751,0.35036573,-21.014093,-19.415485,0.37554732,-0.189,7.330795,-3.0612009,133.27126,168.84189,37.101128,43.582653,136.95984,132.50221,169.17061,93.54176,112.96494,137.24811,20.15972,18.755175,48.52094
footage_image_data.zip,type_img_frame_0019.png,type_maskWithSkin_frame_0019.png,type_maskWithoutSkin_frame_0019.png,L,-62.55789995,121.06399536,307.75799751,0.86568993,-21.59372,-17.025234,0.31973705,-3.1187735,7.841725,2.1773098,103.066216,114.15903,35.418514,41.10191,148.9109,102.21737,114.588615,96.26717,114.33146,148.7789,13.684486,7.1139526,49.033245
footage_image_data.zip,type_img_frame_0020.png,type_maskWithSkin_frame_0020.png,type_maskWithoutSkin_frame_0020.png,L,-62.55789995,121.06399536,307.75799751,0.40339893,-22.800686,-18.465288,0.01026212,3.732069,7.6095533,-2.1551507,169.13252,158.02682,20.709421,24.771816,143.5698,168.10526,158.77429,96.11308,113.322205,138.2597,28.878767,16.727942,48.917828
