frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,364.337798,225.760908,92.949062,118.489552,0.998394,1.000000
2,384.066284,227.821593,84.622389,117.703206,0.998862,1.000000
3,364.880716,249.623199,92.845071,108.963358,0.999632,1.000000
4,357.941577,252.214901,95.531541,107.984758,0.999620,1.000000
5,359.750102,255.945840,94.786259,106.597505,0.994756,1.000000
6,360.016439,254.044563,94.681579,107.242293,1.000000,1.000000
7,360.003609,260.751898,94.667632,104.751944,1.000000,1.000000
8,358.960354,255.476557,94.994982,106.691579,0.994440,1.000000
9,360.446582,264.032454,94.531823,103.482977,0.997822,1.000000
10,359.185498,263.824926,95.006790,103.560988,0.997598,1.000000
11,359.311726,259.440909,94.927790,105.242360,1.000000,1.000000
12,362.472245,260.063968,93.729653,104.988071,0.999161,1.000000
13,361.734957,259.278440,94.024003,105.279394,1.000000,1.000000
14,361.630031,257.841127,94.043833,105.823759,1.000000,1.000000
15,361.630031,257.841127,94.043833,105.823759,1.000000,1.000000
16,360.576618,257.567126,94.465079,105.947091,1.000000,1.000000
17,360.576618,257.567126,94.465079,105.947091,1.000000,1.000000
18,361.322338,256.504681,94.170328,106.343073,1.000000,1.000000
19,361.322338,256.504681,94.170328,106.343073,1.000000,1.000000
20,361.322338,256.504681,94.170328,106.343073,1.000000,1.000000
21,360.746626,256.706446,94.412066,106.257806,1.000000,1.000000
22,360.690502,257.609505,94.415948,105.914121,1.000000,1.000000
23,360.639479,257.333242,94.440791,106.017182,1.000000,1.000000
24,361.586698,257.779697,94.078279,105.848302,1.000000,1.000000
25,361.586698,257.779697,94.078279,105.848302,1.000000,1.000000
26,361.907316,257.574280,93.977623,105.918463,1.000000,1.000000
27,371.573189,256.742304,90.251375,106.167373,0.999089,1.000000
28,383.366562,257.247758,85.688109,106.059166,1.000000,1.000000
29,395.514055,257.463478,80.919641,106.064351,0.997785,1.000000
30,403.086773,259.179583,77.940837,105.522074,0.999537,1.000000
31,410.987609,260.470581,74.809681,105.191065,1.000000,1.000000
32,408.453385,259.668260,75.811519,105.450521,1.000000,1.000000
