frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,364.337798,225.760908,92.949062,118.489552,0.998394,1.000000
2,383.951690,227.778152,84.672704,117.715293,0.998861,1.000000
3,365.031025,249.629487,92.783078,108.967096,1.000000,1.000000
4,358.014418,251.912031,95.479598,108.129195,0.999235,1.000000
5,359.845418,256.117542,94.746784,106.501690,1.000000,1.000000
6,360.170524,253.793261,94.619277,107.379585,1.000000,1.000000
7,360.009050,260.741864,94.664192,104.755996,0.999540,1.000000
8,358.891024,255.257953,94.999718,106.756469,0.993565,1.000000
9,360.520329,263.827909,94.458837,103.592642,1.000000,1.000000
10,359.169967,263.544208,94.967428,103.708555,1.000000,1.000000
11,359.254997,259.404975,94.948537,105.264362,1.000000,1.000000
12,362.483488,260.079127,93.732063,104.968953,0.999161,1.000000
13,361.756486,259.268681,94.018792,105.262580,1.000000,1.000000
14,361.598248,257.940045,94.055580,105.783949,1.000000,1.000000
15,360.933868,257.466617,94.320294,105.985552,1.000000,1.000000
16,360.568299,257.549730,94.466744,105.947571,1.000000,1.000000
17,359.343489,256.288235,94.939593,106.433286,1.000000,1.000000
18,361.340268,256.455720,94.166293,106.361983,1.000000,1.000000
19,361.067053,256.347948,94.283025,106.384496,1.000000,1.000000
20,361.373922,256.332975,94.155003,106.384412,1.000000,1.000000
21,360.699404,256.678896,94.431646,106.253864,1.000000,1.000000
22,360.632627,257.639546,94.436635,105.896986,1.000000,1.000000
23,360.610645,257.330864,94.451964,106.020623,1.000000,1.000000
24,361.553880,257.751451,94.093855,105.860356,1.000000,1.000000
25,360.113162,256.947879,94.653071,106.161831,1.000000,1.000000
26,361.819282,257.525187,94.010045,105.924025,1.000000,1.000000
27,371.549544,256.739895,90.247978,106.161935,1.000000,1.000000
28,383.332399,257.246977,85.697976,106.055506,1.000000,1.000000
29,395.496642,257.445971,80.925048,106.072980,0.997780,1.000000
30,403.061687,259.200910,77.950319,105.514894,0.999536,1.000000
31,410.953666,260.479881,74.823220,105.189311,0.999549,1.000000
