frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,364.509139,225.736035,92.872312,118.491001,0.998386,1.000000
2,384.059393,227.691688,84.628338,117.753963,0.998864,1.000000
3,365.077973,249.652972,92.762959,108.960471,1.000000,1.000000
4,358.122374,251.953707,95.436148,108.122476,1.000000,1.000000
5,359.927401,256.145309,94.710717,106.498868,1.000000,1.000000
6,360.172556,253.774591,94.613386,107.390746,1.000000,1.000000
7,360.105050,260.763765,94.621030,104.745423,1.000000,1.000000
8,358.979144,255.341023,94.958681,106.730331,0.996102,1.000000
9,360.527771,263.892684,94.446386,103.551893,1.000000,1.000000
10,359.199315,263.437743,94.949612,103.769600,1.000000,1.000000
11,359.336704,259.444925,94.919773,105.248173,1.000000,1.000000
12,362.567472,259.940958,93.687130,105.051789,1.000000,1.000000
13,361.915538,259.243012,93.943554,105.297386,1.000000,1.000000
14,361.651970,257.914417,94.037359,105.797034,1.000000,1.000000
15,360.977775,257.454652,94.302607,105.986408,1.000000,1.000000
16,360.639453,257.578809,94.442177,105.942455,1.000000,1.000000
17,359.345207,256.290693,94.938963,106.444425,1.000000,1.000000
18,361.324067,256.551698,94.175844,106.326213,1.000000,1.000000
19,361.087128,256.381000,94.271150,106.381167,1.000000,1.000000
20,361.518783,256.348186,94.095272,106.372462,1.000000,1.000000
21,360.806963,256.706084,94.392336,106.251948,1.000000,1.000000
22,360.699952,257.618092,94.421800,105.907919,1.000000,1.000000
23,360.654904,257.305707,94.433872,106.026848,1.000000,1.000000
24,361.644183,257.777969,94.061709,105.848582,1.000000,1.000000
25,360.213994,256.998235,94.621455,106.143316,1.000000,1.000000
26,361.964783,257.561079,93.948766,105.927784,1.000000,1.000000
27,371.617613,256.721937,90.246697,106.192085,0.999090,1.000000
28,383.328919,257.156235,85.697449,106.082248,1.000000,1.000000
29,395.524278,257.452582,80.918475,106.069892,0.997778,1.000000
30,403.167197,259.162801,77.917113,105.528769,0.998621,1.000000
31,410.971984,260.471800,74.816182,105.191147,1.000000,1.000000
32,408.499942,259.739939,75.793733,105.419804,1.000000,1.000000
33,409.301747,259.328309,75.456896,105.594169,1.000000,1.000000
34,408.072654,259.460703,75.963051,105.531717,1.000000,1.000000
35,408.365704,257.985160,75.781563,106.106714,0.999567,1.000000
36,407.611608,262.507541,76.262948,104.354354,0.999584,1.000000
37,407.496689,260.701099,76.240669,105.050389,1.000000,1.000000
38,408.347954,262.480370,75.967192,104.374469,1.000000,1.000000
39,406.582351,261.733687,76.652111,104.627492,0.999577,1.000000
40,407.338236,261.993831,76.352410,104.530626,0.999599,1.000000
41,405.850782,264.284772,77.016089,103.622213,0.999610,1.000000
42,405.189768,262.650858,77.217021,104.243264,0.999229,1.000000
43,401.427723,255.774994,78.513437,106.846881,1.000000,1.000000
44,398.384175,247.742028,79.445280,109.932017,0.999193,1.000000
45,395.793205,246.136783,80.441724,110.495341,0.999194,1.000000
46,394.416853,238.712265,80.690491,113.440445,0.999169,1.000000
47,392.322791,234.261407,81.373608,115.211825,1.000000,1.000000
48,396.022509,235.487702,79.853646,114.795866,1.000000,1.000000
49,393.797544,239.127195,80.961636,113.274202,1.000000,1.000000
50,389.711815,236.248590,82.538242,114.366267,1.000000,1.000000
51,392.029588,234.833503,81.517082,114.985280,0.999233,1.000000
52,392.340261,235.570986,81.418472,114.684184,1.000000,1.000000
53,395.260297,231.781872,79.987494,116.295987,1.000000,1.000000
54,388.081827,236.149811,83.221132,114.356822,1.000000,1.000000
55,388.462796,235.396875,83.031015,114.679666,1.000000,1.000000
56,391.189833,238.384282,82.002622,113.524634,1.000000,1.000000
57,389.591383,235.399505,82.543105,114.702044,1.000000,1.000000
58,381.180313,234.283949,86.023526,115.042885,0.998844,1.000000
59,373.797633,232.388914,89.046708,115.769682,1.000000,1.000000
60,371.797314,233.363203,89.885098,115.364386,0.999226,1.000000
61,361.217606,229.000848,94.287503,117.203132,0.999600,1.000000
62,355.942463,225.403418,96.551620,118.774847,0.997523,1.000000
63,353.824858,223.354397,97.514115,119.671526,0.998729,1.000000
64,357.221127,220.825165,96.083469,120.703730,0.999159,1.000000
65,358.299469,220.481365,95.615487,120.828445,1.000000,1.000000
66,357.586625,219.812025,95.937304,121.149534,0.999585,1.000000
67,357.631088,219.186822,95.926984,121.420746,0.998784,1.000000
68,355.186690,219.230975,97.003547,121.457804,0.999190,1.000000
69,355.370678,218.487656,96.936897,121.781402,0.998331,1.000000
70,355.688621,220.139575,96.761483,121.047634,0.998361,1.000000
71,355.249347,219.906298,96.960293,121.165564,0.999608,1.000000
72,356.509108,219.716627,96.411016,121.214663,0.999173,1.000000
73,356.447542,222.294271,96.395223,120.090476,0.997854,1.000000
74,345.707247,223.285603,101.079812,119.942054,1.000000,1.000000
75,339.719865,227.521182,103.507995,118.334658,0.999574,1.000000
76,334.385147,229.041614,105.754600,117.921438,1.000000,1.000000
77,330.014842,231.188299,107.545854,117.201643,1.000000,1.000000
78,323.898910,234.281876,110.026300,116.207273,1.000000,1.000000
79,323.555593,234.783914,110.152949,116.011257,1.000000,1.000000
80,322.958677,233.194208,110.523572,116.738541,1.000000,1.000000
81,322.542579,233.387137,110.691069,116.673210,1.000000,1.000000
82,321.740097,231.686239,111.177009,117.473936,1.000000,1.000000
83,322.226492,233.252115,110.854942,116.763159,1.000000,1.000000
84,323.129020,233.050184,110.478466,116.794635,1.000000,1.000000
85,323.138216,232.690663,110.496988,116.957237,1.000000,1.000000
86,324.012427,232.881973,110.091993,116.820696,1.000000,1.000000
87,324.100051,233.229287,110.024459,116.659159,1.000000,1.000000
88,323.030364,233.548732,110.478207,116.581739,1.000000,1.000000
89,317.360141,240.152215,112.525826,114.053687,1.000000,1.000000
90,314.258216,244.819113,113.577204,112.226816,1.000000,1.000000
91,312.685294,247.980169,114.057747,110.947003,1.000000,1.000000
92,311.689334,252.228888,114.237743,109.184160,1.000000,1.000000
93,309.553298,257.899489,114.869273,106.881783,1.000000,1.000000
94,309.225498,259.217578,114.920877,106.356926,0.997198,1.000000
95,309.141340,258.709359,114.995475,106.580453,0.998825,1.000000
96,308.908369,258.328129,115.097002,106.745770,0.996429,1.000000
97,308.966259,258.271813,115.079749,106.771779,0.996444,1.000000
98,310.560450,254.063241,114.627966,108.463803,0.998377,1.000000
99,311.021516,252.634555,114.503545,109.032950,0.999180,1.000000
100,311.169643,253.074559,114.414754,108.846830,0.998758,1.000000
101,311.742278,254.225977,114.089564,108.340973,0.996185,1.000000
102,312.483631,255.067208,113.732439,107.947538,0.998290,1.000000
103,311.310460,255.606494,114.211699,107.780132,0.999176,1.000000
104,312.216562,256.001230,113.810081,107.574472,0.997943,1.000000
105,316.305382,261.195985,111.872038,105.285478,0.999213,1.000000
106,317.928685,269.937122,110.930309,101.735183,1.000000,1.000000
107,322.002447,274.509011,109.176552,99.858864,1.000000,1.000000
108,323.305171,281.851857,108.535727,96.997486,0.998107,1.000000
109,325.957055,285.154324,107.439144,95.719661,0.998814,1.000000
110,326.878207,286.960099,107.063641,95.039541,0.999614,1.000000
111,327.017931,288.294233,107.001214,94.523348,0.998079,1.000000
112,326.750992,287.915667,107.107883,94.667223,1.000000,1.000000
113,327.226316,288.013387,106.931163,94.634361,1.000000,1.000000
114,326.626589,287.183930,107.169153,94.936036,1.000000,1.000000
115,326.354452,288.384117,107.254479,94.474550,0.999592,1.000000
116,324.691650,285.189216,107.941524,95.699170,0.999167,1.000000
117,324.614100,288.378562,107.935833,94.465279,0.999167,1.000000
118,325.753207,286.613509,107.523443,95.150353,0.999599,1.000000
119,327.047615,287.623105,107.007733,94.768815,0.999595,1.000000
120,335.561033,290.767080,103.524097,93.636855,0.991565,1.000000
121,341.717565,293.331146,101.426289,92.689351,0.999206,1.000000
122,349.251986,294.656167,98.459124,92.243189,0.999601,1.000000
123,354.024614,298.074672,96.874412,91.018397,0.997899,1.000000
124,360.221658,299.648858,94.602548,90.498597,0.992411,1.000000
125,361.788155,298.330669,93.988397,90.986626,0.992860,1.000000
126,363.369406,302.576314,93.420610,89.447179,0.986780,1.000000
127,363.771759,305.005896,93.285248,88.580519,0.984822,1.000000
128,358.834532,300.964156,95.095824,90.022986,0.987644,1.000000
129,356.264887,298.828453,95.973134,90.763644,0.995349,1.000000
130,356.820251,298.213462,95.727636,91.051124,0.993421,1.000000
131,356.908909,297.750580,95.700265,91.214913,0.992248,1.000000
