frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,342.987916,242.274373,82.245586,108.555126,0.998747,1.000000
2,342.987916,242.274373,82.245586,108.555126,0.998747,1.000000
3,336.731566,246.673595,86.449743,105.816310,0.997489,1.000000
4,325.634335,251.594785,93.079992,102.920627,0.998720,1.000000
5,325.277415,251.022457,93.292986,103.258678,0.997462,1.000000
6,326.352739,249.127386,92.358269,104.358209,0.998123,1.000000
7,325.582044,244.839426,93.142163,106.886941,0.998039,1.000000
8,325.930139,248.091977,92.627152,104.971470,0.997406,1.000000
9,325.842640,248.906819,92.648567,104.495493,0.995392,1.000000
10,326.632619,248.272805,92.176126,104.857916,0.999413,1.000000
11,327.424324,248.324021,91.716481,104.834683,0.996877,1.000000
12,327.385793,250.551521,91.740461,103.526243,0.999359,1.000000
13,327.385793,250.551521,91.740461,103.526243,0.999359,1.000000
14,326.817554,252.235868,92.065300,102.549976,0.999366,1.000000
15,326.382302,251.913750,92.322786,102.738695,0.999355,1.000000
16,328.246838,252.139623,91.222009,102.606137,0.998748,1.000000
17,328.246838,252.139623,91.222009,102.606137,0.998748,1.000000
18,328.246838,252.139623,91.222009,102.606137,0.998748,1.000000
19,327.521421,251.237530,91.627707,103.135040,0.996284,1.000000
20,326.110721,252.603941,92.448773,102.342285,0.997887,1.000000
21,327.474232,251.469515,91.666486,102.996427,0.996714,1.000000
22,327.474232,251.469515,91.666486,102.996427,0.996714,1.000000
23,327.499464,250.387533,91.662361,103.623157,0.997677,1.000000
24,327.499464,250.387533,91.662361,103.623157,0.997677,1.000000
25,327.499464,250.387533,91.662361,103.623157,0.997677,1.000000
26,327.499464,250.387533,91.662361,103.623157,0.997677,1.000000
27,326.930098,251.267281,91.975668,103.115945,0.996860,1.000000
28,340.413772,252.306030,84.011483,102.580103,0.993795,1.000000
29,354.303443,251.699435,75.608767,103.178231,0.996320,1.000000
30,368.640865,251.935977,66.426666,103.551733,0.995659,1.000000
31,375.007486,253.755729,62.215193,102.672885,0.995423,1.000000
32,385.772095,255.910737,54.495982,101.829197,0.996934,1.000000
33,383.220569,255.360231,56.411256,102.054043,0.997585,1.000000
