frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,364.335658,225.608685,92.958566,118.551956,0.999600,1.000000
2,383.854403,227.807884,84.718891,117.715081,0.997732,1.000000
3,364.854226,249.695755,92.860004,108.935525,1.000000,1.000000
4,358.005957,252.168561,95.499683,108.004584,0.998479,1.000000
5,359.753530,255.713810,94.773340,106.685413,0.991847,1.000000
6,359.963792,254.002176,94.705909,107.263236,0.998688,1.000000
7,359.933574,260.712615,94.676720,104.771662,1.000000,1.000000
8,359.331168,254.898269,95.050545,106.921338,0.995321,1.000000
9,360.441194,263.888875,94.459899,103.529292,0.999563,1.000000
10,359.122353,263.525940,94.980897,103.717579,0.999190,1.000000
11,359.101048,259.445531,95.001713,105.248494,1.000000,1.000000
12,362.368834,259.943549,93.766694,105.039124,1.000000,1.000000
13,361.664637,259.230362,94.059212,105.284177,1.000000,1.000000
14,361.468306,257.731906,94.105155,105.851787,1.000000,1.000000
15,361.468306,257.731906,94.105155,105.851787,1.000000,1.000000
16,360.430441,257.523919,94.523539,105.951105,1.000000,1.000000
17,359.256309,256.223686,94.977320,106.449725,1.000000,1.000000
18,361.118788,256.505396,94.258061,106.334460,1.000000,1.000000
19,361.118788,256.505396,94.258061,106.334460,1.000000,1.000000
20,361.118788,256.505396,94.258061,106.334460,1.000000,1.000000
21,360.558866,256.664836,94.507357,106.267517,0.999565,1.000000
22,360.570979,257.650239,94.482723,105.881352,1.000000,1.000000
23,360.498912,257.281369,94.507097,106.026672,0.998547,1.000000
24,361.524160,257.686234,94.106055,105.872931,1.000000,1.000000
25,360.025547,256.982454,94.694448,106.151448,0.999538,1.000000
26,361.767170,257.518975,94.028800,105.940860,1.000000,1.000000
27,371.588069,256.620681,90.271333,106.224105,1.000000,1.000000
28,383.372945,257.159214,85.681822,106.074619,0.999124,1.000000
29,395.362737,257.366815,80.973508,106.083558,0.996398,1.000000
30,402.956402,259.115019,77.992990,105.544704,0.998605,1.000000
31,410.899262,260.451085,74.843132,105.191032,1.000000,1.000000
32,408.200450,259.688456,75.899100,105.421671,0.997236,1.000000
33,409.109003,259.248176,75.520548,105.613080,0.996780,1.000000
34,407.776339,259.401885,76.072097,105.535086,0.997295,1.000000
35,408.116576,257.995079,75.872949,106.095982,0.999561,1.000000
36,407.440342,262.663093,76.316696,104.276512,0.998749,1.000000
37,407.286142,260.818154,76.311876,104.988857,1.000000,1.000000
38,408.207318,262.579380,76.009284,104.326294,1.000000,1.000000
39,406.388370,261.892016,76.713070,104.543851,0.999575,1.000000
40,407.139446,262.151271,76.404393,104.456216,0.998785,1.000000
41,405.664168,264.470258,77.047638,103.541579,0.998439,1.000000
42,405.207067,262.816944,77.189661,104.178007,0.998457,1.000000
43,401.318562,255.738884,78.558412,106.847818,0.998390,1.000000
44,398.266966,247.595998,79.484650,109.967464,1.000000,1.000000
45,395.691803,245.993017,80.472742,110.539556,0.999196,1.000000
46,394.218909,238.615307,80.772939,113.461216,0.998351,1.000000
47,392.108697,234.293919,81.472266,115.191034,0.999585,1.000000
48,395.748544,235.621607,79.973044,114.737161,0.998829,1.000000
49,393.601698,239.163452,81.048157,113.252860,0.999614,1.000000
50,389.431494,236.230208,82.653717,114.367977,1.000000,1.000000
51,391.747561,234.814795,81.628496,114.985592,0.999233,1.000000
52,391.747561,234.814795,81.628496,114.985592,0.999233,1.000000
53,395.166267,231.780304,80.028131,116.296441,0.999614,1.000000
54,387.891559,236.227682,83.296674,114.331215,0.999610,1.000000
55,388.340415,235.448440,83.078439,114.659843,1.000000,1.000000
56,391.024411,238.304448,82.066946,113.555999,1.000000,1.000000
57,389.467279,235.412869,82.597078,114.695230,1.000000,1.000000
58,381.070130,234.174820,86.071514,115.084339,0.998843,1.000000
59,373.636441,232.332341,89.112168,115.782693,1.000000,1.000000
60,371.544227,233.433532,89.981558,115.337635,0.997668,1.000000
61,361.136801,228.967201,94.322026,117.217624,1.000000,1.000000
62,355.952352,225.314820,96.549970,118.807918,0.999589,1.000000
63,353.846813,223.329864,97.503917,119.682384,1.000000,1.000000
64,357.246204,220.835755,96.072101,120.699351,0.999159,1.000000
65,357.246204,220.835755,96.072101,120.699351,0.999159,1.000000
66,357.505908,219.824169,95.968985,121.137783,0.997927,1.000000
67,357.505908,219.824169,95.968985,121.137783,0.997927,1.000000
68,354.979997,219.307900,97.085499,121.413970,0.998373,1.000000
69,355.207450,218.462014,97.001753,121.783762,0.998335,1.000000
70,355.645301,220.123373,96.773161,121.052347,0.997523,1.000000
71,355.052278,219.931799,97.036200,121.149875,0.998038,1.000000
72,356.410113,219.656187,96.445188,121.235118,0.997107,1.000000
73,356.243512,222.310707,96.477823,120.077352,0.997839,1.000000
74,345.701654,223.289543,101.078420,119.939517,1.000000,1.000000
75,339.817263,227.488346,103.466606,118.347391,0.999579,1.000000
76,334.246244,229.054138,105.816860,117.915541,0.999576,1.000000
77,329.795195,231.186234,107.646920,117.208806,0.999102,1.000000
78,323.904173,234.353264,110.026346,116.172057,1.000000,1.000000
79,323.904173,234.353264,110.026346,116.172057,1.000000,1.000000
80,322.846007,233.252681,110.572294,116.714883,1.000000,1.000000
81,322.846007,233.252681,110.572294,116.714883,1.000000,1.000000
82,321.618149,231.710071,111.243340,117.465536,1.000000,1.000000
83,322.160584,233.244058,110.884148,116.768677,1.000000,1.000000
84,322.160584,233.244058,110.884148,116.768677,1.000000,1.000000
85,322.160584,233.244058,110.884148,116.768677,1.000000,1.000000
86,322.160584,233.244058,110.884148,116.768677,1.000000,1.000000
87,322.160584,233.244058,110.884148,116.768677,1.000000,1.000000
88,322.916211,233.559140,110.533197,116.578618,1.000000,1.000000
89,317.287319,240.120504,112.555735,114.068105,1.000000,1.000000
90,314.134319,244.767773,113.638744,112.249737,1.000000,1.000000
91,312.547953,247.971803,114.123447,110.957908,1.000000,1.000000
92,311.532139,252.491653,114.311105,109.075440,0.999579,1.000000
93,309.333000,257.942335,114.965535,106.863912,1.000000,1.000000
94,309.033917,259.257276,115.019264,106.342997,0.998010,1.000000
95,309.033917,259.257276,115.019264,106.342997,0.998010,1.000000
96,308.717012,258.371072,115.194619,106.733015,0.994451,1.000000
97,308.717012,258.371072,115.194619,106.733015,0.994451,1.000000
98,310.379550,253.936891,114.714039,108.526149,0.998780,1.000000
99,310.854166,252.611202,114.576726,109.052860,0.998773,1.000000
100,310.854166,252.611202,114.576726,109.052860,0.998773,1.000000
101,311.545117,254.147183,114.184502,108.377926,0.997025,1.000000
102,311.545117,254.147183,114.184502,108.377926,0.997025,1.000000
103,311.129518,255.520796,114.295069,107.822632,0.998348,1.000000
104,311.129518,255.520796,114.295069,107.822632,0.998348,1.000000
105,316.067719,261.422807,111.974447,105.197438,0.997624,1.000000
106,317.793800,269.889789,110.981357,101.755747,0.999240,1.000000
107,321.750794,274.608546,109.287510,99.828671,0.999249,1.000000
