frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,364.335658,225.608685,92.958566,118.551956,0.999600,1.000000
2,383.899055,227.734656,84.707494,117.741607,0.997360,1.000000
3,364.853741,249.648054,92.849646,108.959702,1.000000,1.000000
4,358.105376,251.940242,95.433976,108.120166,1.000000,1.000000
5,359.773093,256.108412,94.770204,106.493616,1.000000,1.000000
6,360.002985,253.759657,94.677113,107.385473,1.000000,1.000000
7,359.966054,260.764788,94.671909,104.750885,1.000000,1.000000
8,359.197789,255.099517,95.094257,106.835533,0.997000,1.000000
9,360.423662,263.803495,94.496316,103.594643,1.000000,1.000000
10,359.147879,263.406555,94.970530,103.775919,0.999594,1.000000
11,359.174314,259.429012,94.967423,105.248178,0.999583,1.000000
12,362.358160,259.913667,93.763435,105.049450,1.000000,1.000000
13,361.667677,259.187548,94.058017,105.299549,1.000000,1.000000
14,361.472162,257.807091,94.120451,105.804351,1.000000,1.000000
15,360.722311,257.470691,94.413202,105.970651,0.999566,1.000000
16,360.424813,257.550121,94.526005,105.945167,1.000000,1.000000
17,359.181854,256.183230,95.002869,106.461262,1.000000,1.000000
18,361.121098,256.446684,94.256541,106.361166,1.000000,1.000000
19,360.875872,256.338327,94.370826,106.384945,1.000000,1.000000
20,361.298479,256.286814,94.186192,106.400943,1.000000,1.000000
21,360.556916,256.685102,94.502144,106.261921,0.999566,1.000000
22,360.553918,257.655085,94.487821,105.877160,1.000000,1.000000
23,360.585836,257.298787,94.461349,106.020432,1.000000,1.000000
24,361.534347,257.731213,94.100795,105.854547,1.000000,1.000000
25,360.111236,257.038827,94.654477,106.129168,1.000000,1.000000
26,361.779847,257.502169,94.019608,105.942184,1.000000,1.000000
27,371.671399,256.677550,90.222659,106.202553,0.997279,1.000000
28,383.361114,257.156313,85.688198,106.073161,1.000000,1.000000
29,395.264532,257.389979,80.999527,106.076116,0.995489,1.000000
30,402.977773,259.081360,77.982989,105.552958,0.996741,1.000000
31,410.815876,260.459900,74.872477,105.176818,0.999087,1.000000
32,408.212195,259.649190,75.895002,105.437390,0.995381,1.000000
33,409.146488,259.238306,75.500989,105.616355,0.995860,1.000000
34,407.695141,259.356042,76.105497,105.542511,0.995473,1.000000
35,408.123564,257.995918,75.868783,106.089842,0.999561,1.000000
36,407.339568,262.550212,76.361418,104.321161,0.997899,1.000000
37,407.247817,260.761633,76.330631,105.007130,1.000000,1.000000
38,408.165189,262.452679,76.026827,104.378060,0.999572,1.000000
39,406.286210,261.770819,76.757696,104.583259,0.998720,1.000000
40,407.121747,261.988959,76.422555,104.514906,0.999186,1.000000
41,405.634833,264.344573,77.071808,103.584498,0.998818,1.000000
42,405.116704,262.613856,77.237909,104.245562,0.998450,1.000000
43,401.259648,255.800501,78.582643,106.826025,0.997979,1.000000
44,398.258602,247.674717,79.485507,109.943366,1.000000,1.000000
45,395.686995,246.092903,80.481188,110.507137,0.998791,1.000000
